Name,Latitude,Longitude
Warden Avenue & Arkona Drive,43.7730972,-79.305413
Sheppard Avenue East & Don Mills Road,43.7750381,-79.3469253
Leslie Street & York Mills Road,43.7530269,-79.35992
Lawrence Avenue East & Don Mills Road,43.737206,-79.3435274
Kennedy Rd and 401 C E Kennedy Rd Ramp,43.7731851,-79.2837686
Kennedy Road & Ellesmere Road,43.765899,-79.2810134
Midland Avenue & Progress Avenue,43.7729672,-79.2729876
Kennedy Road & Sheppard Avenue East,43.7832894,-79.2882651
Birchmount Rd and Huntingwood Dr,43.7904457,-79.3023094
Sheppard Avenue East & McCowan Road,43.7896239,-79.2589067
Lawrence Avenue East & Kennedy Road,43.7496122,-79.2748941
Finch Avenue East & Birchmount Road,43.7989918,-79.3059447
Ellesmere Road & Bellamy Road North,43.7743978,-79.2417719
Finch Avenue East & Brimley Road,43.8056769,-79.2773493
Markham Road & Progress Avenue,43.7818089,-79.2339563
Markham Road & Ellesmere Road,43.7765185,-79.2316671
Lawrence Avenue East & Bellamy Road North,43.7577895,-79.2352954
Markham Road & Sheppard Avenue East,43.7938622,-79.2388588
Lawrence Ave East At Greencedar Circt East Side,43.758141,-79.232681
Birchmount Road & McNicoll Avenue,43.8086369,-79.3111413
Kennedy Road & McNicoll Avenue,43.812125,-79.301909
Finch Avenue East & Middlefield Road,43.809964,-79.2576891
Sheppard Avenue East & Malvern Street,43.7946606,-79.2349784
McNicoll Avenue & Midland Avenue,43.814564,-79.292208
Warden Avenue & Ashtonbee Road,43.7307144,-79.2887608
Warden Avenue & McNicoll Avenue,43.8063457,-79.3209695
Lawrence Avenue East & Markham Road,43.7598613,-79.2254289
Eglinton Avenue East & Danforth Road,43.7371929,-79.2461209
McCowan Road & McNicoll Avenue,43.8179569,-79.2719768
McNicoll Avenue & Pharmacy Avenue,43.8041216,-79.3307407
Danforth Road & Brimley Road,43.7352603,-79.2474254
Finch Avenue East & Gordon Baker Road,43.7951889,-79.3412917
Warden Avenue & Comstock Road,43.7215281,-79.2850209
Don Mills Rd and Van Horne Ave,43.7873622,-79.3529202
Birchmount Road & Steeles Avenue East,43.8213938,-79.3169201
Neilson Road & Sheppard Avenue East,43.7981965,-79.2177399
Steeles Avenue East & Brimley Road,43.8282667,-79.2872063
Neilson Road & McLevin Avenue,43.8091208,-79.2217435
St Clair Avenue East & Brimley Road,43.7209168,-79.2414782
Leslie Street & Finch Avenue East,43.7899769,-79.3679405
Leslie Street & Lawrence Avenue East,43.7346,-79.3558768
Morningside Avenue & Milner Avenue,43.8002339,-79.199133
Danforth Road & Birchmount Road,43.7069855,-79.2681289
Sheppard Avenue East & Morningside Avenue,43.8019148,-79.1998326
Ellesmere Road & Military Trail,43.786582,-79.1883
Morningside Avenue & Lawrence Avenue East,43.768476,-79.1861289
Bayview Avenue & Truman Road,43.7605556,-79.3865411
Sheppard Avenue East & Bayview Avenue,43.7665263,-79.3881031
Danforth Avenue & Birchmount Road,43.6970605,-79.2640113
Overlea Boulevard & Thorncliffe Park Drive,43.7074165,-79.3435817
Bayview Avenue & Cummer Avenue,43.7922657,-79.3935296
Finch Avenue East & Willowdale Avenue,43.7816303,-79.4071068
Danforth Avenue & Greenwood Avenue,43.6814692,-79.3323585
Kingston Road & Port Union Road,43.7988211,-79.1461686
Queen Street East & Woodbine Avenue,43.6687557,-79.305773
Steeles Avenue West & Hilda Avenue,43.7960407,-79.4292815
Avenue Road & Lawrence Avenue West,43.7223224,-79.4155475
Eastern Avenue & Coxwell Avenue,43.6655053,-79.3162134
Bathurst Street & Sheppard Avenue West,43.755489,-79.4383888
Lake Shore Boulevard East & Leslie Street,43.6592314,-79.3284429
Bathurst Street & Lawrence Avenue West,43.7192372,-79.4296958
Steeles Avenue West & Carpenter Road,43.7920469,-79.4476222
Eglinton Avenue West & Spadina Road,43.7023812,-79.4190569
Dundas Street East & River Street,43.6611893,-79.3581371
Lake Shore Boulevard East & Carlaw Avenue,43.6551396,-79.3375714
Jarvis Street & Isabella Street,43.6688924,-79.3794271
Sheppard Avenue West & Wilson Heights Boulevard,43.7516408,-79.4565826
St Clair Avenue West & Spadina Road,43.6846922,-79.4111827
Wilson Avenue & Transit Road,43.733428,-79.4527887
Lawrence Avenue West & Marlee Avenue,43.7155748,-79.4464578
Richmond Street East & Parliament Street,43.6545502,-79.3639986
Dufferin Street & Finch Avenue West,43.7688313,-79.466828
Adelaide Street East & Parliament Street,43.653568,-79.3635754
King Street East & Parliament Street,43.6527275,-79.3632152
Steeles Avenue West & Dufferin Street,43.7872202,-79.4700252
Bathurst Street & Davenport Road,43.6766965,-79.4157557
King Street East & Jarvis Street,43.6504548,-79.3718947
Dufferin Street & Glencairn Avenue,43.7070229,-79.4532195
Lower Jarvis Street & The Esplanade,43.6482109,-79.3709183
University Avenue & Queen Street West,43.6508639,-79.3864337
University Avenue & Richmond Street West,43.6500478,-79.386441
University Avenue & Adelaide Street West,43.6488633,-79.3855616
University Avenue & Wellington Street West,43.6463917,-79.3840815
Simcoe Street & Wellington Street West,43.6460702,-79.3855226
College Street & Bathurst Street,43.6564647,-79.4077012
Keele Street & Sheppard Avenue West,43.7447651,-79.4863334
Lake Shore Boulevard West & York Street,43.6416118,-79.3809522
Keele Street & Wilson Avenue,43.7266533,-79.4819502
Spadina Avenue & King Street West,43.6454419,-79.3951458
Bloor Street West & Ossington Avenue,43.6619827,-79.4256242
Steeles Avenue West & Keele Street,43.7814983,-79.4944158
Dufferin Street & Dupont Street,43.6684595,-79.4390156
Spadina Avenue & Bremner Boulevard,43.6406129,-79.3931974
Keele Street & Lawrence Avenue West,43.7086618,-79.4779529
Lower Spadina Avenue & Lake Shore Boulevard West,43.6385386,-79.3921202
Lansdowne Avenue & Dupont Street,43.6667251,-79.4464482
Rogers Road & Keele Street,43.6821195,-79.471573
Lake Shore Boulevard West & Strachan Avenue,43.6346025,-79.4088133
Dundas Street West & Bloor Street West,43.6563348,-79.4524245
Jane Street & Clair Road,43.7412267,-79.5137055
St Clair Avenue West & Gunns Road,43.6718533,-79.4711359
Jane Street & Stong Court,43.7619221,-79.5187907
Wilson Avenue & Jane Street,43.7209855,-79.5085552
Jane Street & Falstaff Avenue,43.715418,-79.5070857
Queen Street West & Lansdowne Avenue,43.6405916,-79.4366417
Bloor Street West & Keele Street,43.654699,-79.4599897
Jane Street & Bala Avenue,43.6901383,-79.5006026
Lake Shore Boulevard West & Jameson Avenue,43.6333802,-79.4345791
St Clair Avenue West & Runnymede Road,43.6689799,-79.4835366
Weston Road & Lawrence Avenue West,43.7001504,-79.5162178
Eglinton Avenue West & Scarlett Road,43.6840136,-79.511362
Steeles Avenue West & Signet Drive,43.7708985,-79.5433741
Steeles Avenue West & Weston Road,43.7702829,-79.5464255
Lake Shore Boulevard West & Windermere Avenue,43.6352044,-79.4681797
Dixon Road & Islington Avenue,43.6971016,-79.5466387
Islington Avenue & The Westway,43.6886927,-79.542829
Islington Avenue & Albion Road,43.7372041,-79.5652298
Lake Shore Boulevard West & Park Lawn Road,43.6230319,-79.4812128
Steeles Avenue West & Islington Avenue,43.764303,-79.5746741
Rexdale Boulevard & Kipling Avenue,43.7118002,-79.5666386
Dixon Road & Kipling Avenue,43.6943749,-79.5585815
Bloor Street West & Islington Avenue,43.6447098,-79.5235499
The Queensway & Royal York Road,43.6263384,-79.502609
Albion Road & Kipling Avenue,43.7396165,-79.580226
Rexdale Boulevard & Martin Grove Road,43.713849,-79.5810729
Dixon Road & Martin Grove Road,43.6916848,-79.5708353
The Queensway & Islington Avenue,43.6236681,-79.5148431
Eglinton Avenue West & Martin Grove Road,43.6744272,-79.5630637
Islington Avenue & Evans Avenue,43.6184021,-79.5114017
Albion Road & Silverstone Drive,43.7429275,-79.6000665
The Queensway & Kipling Avenue,43.6210063,-79.526877
Burnhamthorpe Road & The East Mall,43.6462468,-79.5598913
Kipling Avenue & Horner Avenue,43.6072226,-79.5207239
Bloor Street West & The East Mall,43.6369107,-79.5565662
Dixon Road & Carlingview Drive,43.6866772,-79.5954243
Bloor Street West & The West Mall,43.6356773,-79.5623182
The Queensway & The East Mall,43.6165131,-79.5463304
The Queensway & North Queen Street,43.6143339,-79.5561314
Lake Shore Boulevard West & Thirty Seventh Street,43.5934222,-79.5381821
The Queensway & The West Mall,43.6123172,-79.562526
Steeles Avenue West & Martin Grove Road,43.7578115,-79.6034308
Steeles Avenue West & Jane Street,43.7753704,-79.5217809
Sheppard Avenue West & Jane Street,43.7394641,-79.5131399
Allen Road & Sheppard Avenue West,43.7501644,-79.4634395
