OBJECTID,MUN,CAMERA_NUM,NAME,Street,StrInt1,StrInt2,Latitude,Longitude,x,y
1,Brampton,4,Airport Road @ Williams Parkway,Airport Road,Williams Parkway,,43.7532868004831,-79.7088789771569,-8873152.20868514,5427343.113341
2,Mississauga,11,Derry Road @ Airport Road,Derry Road,Airport Road,,43.7035904035999,-79.6424805366196,-8865760.76524657,5419687.43288558
3,Mississauga,12,Derry Road @ Rexwood Road,Derry Road,Rexwood Road,,43.7162787219445,-79.6272879771314,-8864069.53684728,5421641.45220779
4,Mississauga,24,Mississauga Rd @ Meadowvale Boulevard,Mississauga Rd,Meadowvale Boulevard,,43.6123379331509,-79.7551267893381,-8878300.49182811,5405646.58577197
5,Mississauga,22,Erin Mills Parkway @ Folkway Drive,Erin Mills Parkway,Folkway Drive,,43.5508547481423,-79.6898804493891,-8871037.29957252,5396198.29394774
6,Brampton,25,Queen Street East @ West Drive/Laurelcrest Street,Queen Street East,West Drive,Laurelcrest Street,43.7090440231584,-79.7344580376793,-8875999.65714439,5420527.24676228
7,Mississauga,14,Derry Road @ Winston Churchill Boulevard,Derry Road,Winston Churchill Boulevard,,43.5881459331497,-79.7711106663716,-8880079.80920723,5401927.78214407
8,Mississauga,13,Derry Road @ Tomken Road,Derry Road,Tomken Road,,43.6656502247406,-79.6848797723467,-8870480.62770546,5413847.05653287
9,Brampton,28,Steeles Avenue @ Bramalea Road,Steeles Avenue,Bramalea Road,,43.7048831958046,-79.690529831172,-8871109.58996586,5419886.50546655
10,Brampton,2,Airport Road @ Queen Street East,Airport Road,Queen Street East,,43.7435221441894,-79.6958385178415,-8871700.55083475,5425838.37621533
11,Mississauga,21,Erin Mills Parkway @ Eglinton Avenue West,Erin Mills Parkway,Eglinton Avenue West,,43.5588621433206,-79.7067412516782,-8872914.23617341,5397428.2662717
12,Brampton,21,Steeles Avenue East @ Resolution Drive,Steeles Avenue East,Resolution Drive,,43.6780420679872,-79.7199268069847,-8874382.04712009,5415754.20635416
13,Brampton,30,Steeles Avenue East @ Bramalea GO Station,Steeles Avenue East,Bramalea GO Station,,43.7025979097913,-79.69295173315,-8871379.194924,5419534.6044941
14,Mississauga,15,Derry Road West @ Financial Drive,Derry Road West,Financial Drive,,43.6117368942775,-79.7492439046772,-8877645.611889,5405554.17577145
15,Brampton,19,Dixie Road @ Orenda Road/Birchbank Road,Dixie Road,Orenda Road,Birchbank Road,43.7016430924663,-79.7105361221644,-8873336.68076894,5419387.58029796
16,Mississauga,33,Winston Churchill Boulevard @ Bromsgrove Road,Winston Churchill Boulevard,Bromsgrove Road,,43.500552863595,-79.6512401897049,-8866735.8836791,5388475.42984158
17,Mississauga,16,Derry Road West @ Meadowvale Boulevard/Creditview,Derry Road West,Meadowvale Boulevard,Creditview,43.614122074477,-79.7447405959187,-8877144.30571521,5405920.90395391
18,Mississauga,7,Britannia Road West @ Latimer Drive,Britannia Road West,Latimer Drive,,43.6091796820832,-79.6990026583406,-8872052.7801253,5405161.01373631
