Name,Latitude,Longitude
Airport Road @ Williams Parkway,43.7532868,-79.70887898
Derry Road @ Airport Road,43.7035904,-79.64248054
Derry Road @ Rexwood Road,43.71627872,-79.62728798
Mississauga Rd @ Meadowvale Boulevard,43.61233793,-79.75512679
Erin Mills Parkway @ Folkway Drive,43.55085475,-79.68988045
Queen Street East @ West Drive/Laurelcrest Street,43.70904402,-79.73445804
Derry Road @ Winston Churchill Boulevard,43.58814593,-79.77111067
Derry Road @ Tomken Road,43.66565022,-79.68487977
Steeles Avenue @ Bramalea Road,43.7048832,-79.69052983
Airport Road @ Queen Street East,43.74352214,-79.69583852
Erin Mills Parkway @ Eglinton Avenue West,43.55886214,-79.70674125
Steeles Avenue East @ Resolution Drive,43.67804207,-79.71992681
Steeles Avenue East @ Bramalea GO Station,43.70259791,-79.69295173
Derry Road West @ Financial Drive,43.61173689,-79.7492439
Dixie Road @ Orenda Road/Birchbank Road,43.70164309,-79.71053612
Winston Churchill Boulevard @ Bromsgrove Road,43.50055286,-79.65124019
Derry Road West @ Meadowvale Boulevard/Creditview,43.61412207,-79.7447406
Britannia Road West @ Latimer Drive,43.60917968,-79.69900266
Derry Road West @ Shelter Bay Road/Copenhagen,43.59085928,-79.76815681
Airport Road @ Steeles Avenue East,43.72372751,-79.66913365
Dixie Road @ Queen Street East,43.71483988,-79.72806748
Queen Street East @ Torbram Road,43.73408809,-79.70671563
Airport Road @ Bovaird Drive/Castlemore Road,43.7633423,-79.72240715
Bovaird Drive West @ Brisdale Drive/Pertosa Drive,43.68315244,-79.81188176
Steeles Avenue West @ Tait Boulevard/Windmill,43.65361365,-79.74688813
Steeles Avenue @ Rutherford Road/First Gulf Blvd.,43.68057971,-79.71724566
Derry Road West @ Syntex Drive/Syntex Court,43.60504378,-79.75461876
Queensway East @ Camilla Road,43.57766987,-79.60354574
Britannia Road West @ Tillsdown Dr/River Grove Ave,43.59502358,-79.71483275
Cawthra Road @ Atwater Ave,43.57466018,-79.573149
Britannia Road West @ Grossbeak Dr/Delle Donne Dr,43.56147257,-79.75248993
Mayfield Road @ Kennedy Road,43.74366252,-79.81448258
Britannia Road West @ Rodeo Drive/Belgrave Road,43.61476962,-79.69258233
Dixie Road @ Bloor Street,43.61678015,-79.59458953
Finch Avenue @ Darcel Avenue/Longo Circle,43.7333752,-79.63380286
